X,Y
3.440298507462686302e+03,6.352009744214373313e+03
3.395522388059701370e+03,6.062119366626066039e+03
3.350746268656716438e+03,5.772228989037758765e+03
3.373134328358209132e+03,5.499390986601705663e+03
3.425373134328357992e+03,5.090133982947624645e+03
3.485074626865671689e+03,4.800243605359317371e+03
3.514925373134328311e+03,4.399512789281364348e+03
3.537313432835821004e+03,4.118148599269184160e+03
3.522388059701492693e+03,3.836784409257003517e+03
3.320895522388059817e+03,3.453105968331303302e+03
3.126865671641790868e+03,3.146163215590743221e+03
3.029850746268656621e+03,2.898903775883069102e+03
3.111940298507463012e+03,2.651644336175395892e+03
3.141791044776119179e+03,2.199756394640682174e+03
2.873134328358209132e+03,2.097442143727162147e+03
2.813432835820895434e+03,2.088915956151035061e+03
2.611940298507463012e+03,2.037758830694275503e+03
2.402985074626865753e+03,1.526187576126674912e+03
2.320895522388059817e+03,1.099878197320341087e+03
2.052238805970149315e+03,6.224116930572472484e+02
1.567164179104477626e+03,6.820950060901338929e+01
